Geographic code,Year,Race,Sex,Age group,Person-years,Mortality rate,No. of deaths,Rate Lower bound,Rate upper bound,Expected no. of deaths,Sparse content indicator
99999,2000-2004,W,M,All,579039443,8.024,40437,7.9449,8.103,40437,0
1001,2000-2004,W,M,All,91643,5.4884,4,0,14.5104,4.75,1
1003,2000-2004,W,M,All,323709,6.3231,23,3.6258,9.0204,28.38,0
1005,2000-2004,W,M,All,40103,23.6381,7,5.0676,42.2087,2.85,1
1007,2000-2004,W,M,All,40402,0,0,0,10.2465,2.57,1
1009,2000-2004,W,M,All,129803,5.6835,6,0.2016,11.1653,8.51,1
1011,2000-2004,W,M,All,8981,0,0,0,17.6962,0.79,1
1013,2000-2004,W,M,All,29237,4.9773,2,0,15.5194,2.94,1
1015,2000-2004,W,M,All,215126,7.6876,16,3.6864,11.6888,15.61,0
1017,2000-2004,W,M,All,53503,11.5161,7,2.3411,20.6911,4.9,1
1019,2000-2004,W,M,All,56055,5.5146,3,0,14.9025,4.47,1
1021,2000-2004,W,M,All,89153,5.7326,3,0,14.3807,5.64,1
1023,2000-2004,W,M,All,20779,12.8351,3,0,30.3424,1.84,1
1025,2000-2004,W,M,All,37454,6.3608,2,0,18.4698,3,1
1027,2000-2004,W,M,All,29324,2.5582,1,0,12.9747,2.67,1
1029,2000-2004,W,M,All,34494,2.3295,1,0,13.866,2.33,1
1031,2000-2004,W,M,All,85883,3.8188,3,0,10.2106,6.57,1
1033,2000-2004,W,M,All,109271,5.787,7,1.1862,10.3879,9.05,1
1035,2000-2004,W,M,All,18752,4.4626,1,0,18.7428,1.76,1
1037,2000-2004,W,M,All,19719,16.0378,3,0,36.1688,1.72,1
1039,2000-2004,W,M,All,77527,5.2072,5,0,11.3565,7.09,1
1041,2000-2004,W,M,All,24678,3.4699,1,0,16.3437,2.05,1
1043,2000-2004,W,M,All,189241,8.3289,14,3.4377,13.2201,13.6,0
1045,2000-2004,W,M,All,95541,3.7399,4,0,10.7379,6.37,1
1047,2000-2004,W,M,All,37544,6.4349,2,0,17.477,3.78,1
1049,2000-2004,W,M,All,156930,5.283,8,0.3664,10.1996,10.4,1
1051,2000-2004,W,M,All,133969,5.5594,7,0,11.5911,8.25,1
1053,2000-2004,W,M,All,62414,11.2539,6,1.622,20.8857,4.79,1
1055,2000-2004,W,M,All,210235,5.313,12,2.1418,8.4842,17.36,0
1057,2000-2004,W,M,All,39206,0,0,0,9.1398,3.11,1
1059,2000-2004,W,M,All,72299,4.6932,3,0,12.4282,5.22,1
1061,2000-2004,W,M,All,55223,3.0612,2,0,10.9125,4.64,1
1063,2000-2004,W,M,All,4833,0,0,0,23.1614,0.52,1
1065,2000-2004,W,M,All,19001,8.8202,2,0,26.829,1.46,1
1067,2000-2004,W,M,All,27067,4.1135,1,0,15.6485,2.47,1
1069,2000-2004,W,M,All,160546,8.9466,13,3.7392,14.154,12.1,0
1071,2000-2004,W,M,All,123441,5.6567,7,0,11.4206,8.54,1
1073,2000-2004,W,M,All,928634,7.0737,68,5.365,8.7824,74.61,0
1075,2000-2004,W,M,All,33113,2.67,1,0,13.1649,2.74,1
1077,2000-2004,W,M,All,188267,6.8592,12,2.722,10.9965,14.99,0
1079,2000-2004,W,M,All,69368,11.4051,5,0.259,22.5512,4.56,1
1081,2000-2004,W,M,All,220622,12.7373,15,5.8779,19.5967,9.4,0
1083,2000-2004,W,M,All,144980,5.0248,6,0,11.2677,8.19,1
1085,2000-2004,W,M,All,8992,0,0,0,17.705,0.9,1
1087,2000-2004,W,M,All,9093,0,0,0,17.2998,0.86,1
1089,2000-2004,W,M,All,517599,7.6886,31,4.7474,10.6299,33.4,0
1091,2000-2004,W,M,All,26269,8.9828,2,0,23.4438,2.26,1
1093,2000-2004,W,M,All,71707,4.5935,4,0,11.8153,5.77,1
1095,2000-2004,W,M,All,197904,7.0983,12,2.3264,11.8702,13.61,0
1097,2000-2004,W,M,All,618711,10.4723,53,7.5389,13.4057,42.94,0
